Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight,Battery,Recharge power,Display,Camera,Fingerprint scanner,Facial recognition
Samsung Galaxy S10 5G,Snapdragon 855Exynos 9820 Octa,Octa-coreSnapdragon 855 (1x 2.8 GHz + 3x 2.4 GHz + 4x 1.7 GHz Kryo 485)  Exynos 9820 Octa (2x 2.7 GHz Mongoose M4 + 2x 2.3 GHz Cortex-A75 + 4x 1.9 GHz Cortex-A55),Adreno 640  Mali-G76 MP12,256 GB,No,8 GB,Android 9.0 "Pie",One UI,162.6 x 77.1 x 7.9 mm,198g,4500 mAh,USB-C 25W  Wireless 15W,6.7" 3040x1440 AMOLED,Quad 12 MP + 12 MP + 16 MP + ToF (rear camera) Dual 10 MP + ToF (front camera),Under screen,Yes
Samsung Galaxy Note 10,Snapdragon 855  Exynos 9825 Octa,Octa-coreSnapdragon 855 (1x 2.8 GHz + 3x 2.4 GHz + 4x 1.7 GHz Kryo 485)  Exynos 9825 Octa (2x 2.7 GHz Mongoose M4 + 2x 2.4 GHz Cortex-A75 + 4x 1.9 GHz Cortex-A55),Adreno 640  Mali-G76 MP12,256 GB,No,8 GB,Android 9.0 "Pie",One UI,151 x 71.8 x 7.9 mm,168g,3500 mAh,USB-C 25W  Wireless 20W,6.3" 2280x1080 AMOLED,Triple 12 MP + 12 MP + 16 MP (rear camera) 10 MP (front camera),Under screen,Yes
Samsung Galaxy Note 10+,Snapdragon 855  Exynos 9825 Octa,Octa-coreSnapdragon 855 (1x 2.8 GHz + 3x 2.4 GHz + 4x 1.7 GHz Kryo 485)  Exynos 9825 Octa (2x 2.7 GHz Mongoose M4 + 2x 2.4 GHz Cortex-A75 + 4x 1.9 GHz Cortex-A55),Adreno 640  Mali-G76 MP12,256 or 512 GB,microSD up to 512 GB,12 GB,Android 9.0 "Pie",One UI,162.3 x 77.2 x 7.9 mm,196g (4G)  198g (5G),4300 mAh,USB-C 45W  Wireless 20W,6.8" 3040x1440 AMOLED,Quad 12 MP + 12 MP + 16 MP + ToF (rear camera) 10 MP (front camera),Under screen,Yes
Samsung Galaxy Fold,Snapdragon 855,Octa-core2.8 GHz (1x2.84 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,512 GB,No,12 GB,Android 9.0 "Pie",One UI,Unfolded: 160.9 x 117.9 x 6.9 mm  Folded:  160.9 x 62.9 x 15.5 mm,263g,4380 mAh,USB-C 15W  Wireless 15W,7.3" 2152x1536 AMOLED   4.6" 1680x720 AMOLED (cover),Triple 12 MP + 12 MP + 16 MP (rear camera) Dual 10 MP (cover) + 8 MP (front camera),Side-mounted,-
Motorola Razr (2020),Snapdragon 710,Octa-core2.2 GHz (2x2.2 GHz Kryo 360 Gold + 6x1.7 GHz Kryo 360 Silver),Adreno 616,128 GB,No,6 GB,Android 9.0 "Pie",-,Unfolded: 172 x 72 x 6.9 mm  Folded:  94 x 72 x 14 mm,205g,2510 mAh,USB-C 15W,6.2" 2142x876 P-OLED   2.7" 800x600 G-OLED (cover),16 MP (rear camera) 5 MP (front camera),Front-mounted,-
Xiaomi Mi MIX Alpha,Snapdragon 855+,Octa-core2.96 GHz (1x2.96 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,512 GB,No,12 GB,Android 10,MIUI 11,154.4 x 72.3 x 10.4 mm,241g,4050 mAh,USB-C 40W,7.9" 2250x2088 AMOLED,Triple 108 MP + 20 MP + 12 MP,Under display,-
Huawei Mate X,HiSilicon Kirin 980,Octa-core2.6 GHz (2x2.6 GHz Cortex-A76 + 2x1.92 GHz Cortex-A76 + 4x1.8 GHz Cortex-A55),Mali-G76 MP10,512 GB,up to 256 GB,8 GB,Android 9.0 "Pie",EMUI 9.1,Unfolded: 161.3 x 146.2 x 5.4 mm  Folded:  161.3 x 78.3 x 11 mm,295g,4500 mAh,USB-C 55W,8.0" 2480x2200 AMOLED   6.6" 2480x1148 AMOLED (cover),Quad 40 MP + 16 MP + 8 MP + ToF,Side-mounted,-
Huawei P30,HiSilicon Kirin 980,Octa-core2.6 GHz (2x2.6 GHz Cortex-A76 + 2x1.92 GHz Cortex-A76 + 4x1.8 GHz Cortex-A55),Mali-G76 MP10,64/128/256 GB,up to 256 GB,6/8 GB,Android 9.0 "Pie",EMUI 9.1,149.1 x 71.4 x 7.6 mm,165g,3650 mAh,USB-C 22.5W,6.1" 2340x1080 OLED,Triple 40 MP + 16 MP + 8 MP (rear camera) 32 MP (front camera),Under screen,Yes
Huawei P30 Pro,HiSilicon Kirin 980,Octa-core2.6 GHz (2x2.6 GHz Cortex-A76 + 2x1.92 GHz Cortex-A76 + 4x1.8 GHz Cortex-A55),Mali-G76 MP10,128/256/512 GB,up to 256 GB,6/8 GB,Android 9.0 "Pie",EMUI 9.1,158 x 73.4 x 8.4 mm,192g,4200 mAh,USB-C 40W  Wireless 15W,6.5" 2340x1080 OLED,Quad 40 MP + 20 MP + 8 MP + ToF (rear camera) 32 MP (front camera),Under screen,Yes
Huawei Mate 20 X 5G,HiSilicon Kirin 980,Octa-core2.6 GHz (2x2.6 GHz Cortex-A76 + 2x1.92 GHz Cortex-A76 + 4x1.8 GHz Cortex-A55),Mali-G76 MP10,128 GB,up to 256 GB,6 GB,Android 9.0 "Pie",EMUI 9,174.6 x 85.4 x 8.2 mm,232g,4200 mAh,USB-C 40W,7.2" 2244x1080 OLED,Triple 40 MP + 20 MP + 8 MP (rear camera) 24 MP (front camera),Rear-mounted,Yes
